76561198795577593,204-58{2}102;
76561198966477880,165-67{1}165;
76561198255377234,165-94{1}165;
76561198089083732,131-96{1}131;
76561198335443827,96-112{1}96;
76561198272147796,96-2{1}96;
76561198057280291,92-2{1}92;
76561198077139569,92-6{1}92;
76561199084594693,67-14{1}67;
76561199080087642,67-74{1}67;
76561199438708664,67-34{1}67;
76561198075964233,51-73{1}51;
76561198212821893,35-1{1}35;
76561198348488077,35-38{1}35;
76561199792298726,19-1{1}19;
76561198118893730,11-52{1}11;
76561198151346759,11-84{1}11;
76561198078840387,9-94{1}9;
